#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Thu Jul 19 16:26:23 2018

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       klmscint_top_map.ncd
#OUTPUT FILE:      klmscint_top_pad.csv
#PART TYPE:        xc6slx150t
#SPEED GRADE:      -3
#PACKAGE:          fgg676
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
R26,TDC9_TRG<2>,IOB,IO_L41N_GCLK8_M1CASN_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
T1,TOP_AMUX_S<1>,IOB,IO_L41N_GCLK26_M3DQ5_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
T2,,,VCCO_3,,,3,,,,,2.50,,,,
T3,ftsw_aux,IOB,IO_L41P_GCLK27_M3DQ4_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
T4,BUSB_DO<7>,IOB,IO_L46N_M3CLKN_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
T5,,,GND,,,,,,,,,,,,
T6,LEDS<6>,IOB,IO_L31N_VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
T7,,,VCCO_3,,,3,,,,,2.50,,,,
T8,SAMPLESEL_ANY<12>,IOB,IO_L45N_M3ODT_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
T9,SIN<3>,IOB,IO_L47N_M3A1_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
T10,,,GND,,,,,,,,,,,,
T11,,,VCCINT,,,,,,,,1.2,,,,
T12,,,GND,,,,,,,,,,,,
T13,,,VCCINT,,,,,,,,1.2,,,,
T14,,,GND,,,,,,,,,,,,
T15,,,VCCINT,,,,,,,,1.2,,,,
T16,,,GND,,,,,,,,,,,,
T17,,,VCCINT,,,,,,,,1.2,,,,
T18,,,GND,,,,,,,,,,,,
T19,TDC_CS_DAC<5>,IOB,IO_L66P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
T20,TDC_CS_DAC<6>,IOB,IO_L66N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
T21,,,GND,,,,,,,,,,,,
T22,TDC5_TRG<1>,IOB,IO_L39P_M1A3_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
T23,TDC5_TRG<2>,IOB,IO_L39N_M1ODT_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
T24,TDC3_TRG<3>,IOB,IO_L44P_A3_M1DQ6_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
T25,,,VCCO_1,,,1,,,,,2.50,,,,
T26,SAMPLESEL_ANY<13>,IOB,IO_L44N_A2_M1DQ7_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,LOCATED,NO,NONE,
U1,PCLK<10>,IOB,IO_L40N_M3DQ7_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
U2,LEDS<10>,IOB,IO_L40P_M3DQ6_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
U3,BUSB_DO<5>,IOB,IO_L10N_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
U4,BUSB_DO<6>,IOB,IO_L10P_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
U5,TOP_AMUX_S<0>,IOB,IO_L46P_M3CLK_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
U6,,,VCCAUX,,,,,,,,2.5,,,,
U7,BUSB_DO<8>,IOB,IO_L31P_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
U8,LEDS<3>,IOB,IO_L18N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
U9,LEDS<4>,IOB,IO_L18P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
U10,,,VCCINT,,,,,,,,1.2,,,,
U11,,,GND,,,,,,,,,,,,
U12,,,VCCAUX,,,,,,,,2.5,,,,
U13,BUSB_SAMPLESEL_S<1>,IOB,IO_L27P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
U14,,,VCCAUX,,,,,,,,2.5,,,,
U15,BUSA_SAMPLESEL_S<4>,IOB,IO_L17P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
U16,,,VCCINT,,,,,,,,1.2,,,,
U17,,,GND,,,,,,,,,,,,
U18,,,VCCAUX,,,,,,,,2.5,,,,
U19,TDC_CS_DAC<9>,IOB,IO_L68P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
U20,PCLK<6>,IOB,IO_L68N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,LOCATED,NO,NONE,
U21,TDC_CS_DAC<3>,IOB,IO_L53P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
U22,TDC_CS_DAC<4>,IOB,IO_L53N_VREF_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
U23,TDC5_TRG<3>,IOB,IO_L40P_GCLK11_M1A5_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
U24,TDC9_TRG<3>,IOB,IO_L40N_GCLK10_M1A6_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
U25,TDC3_TRG<1>,IOB,IO_L43P_GCLK5_M1DQ4_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
U26,TDC3_TRG<2>,IOB,IO_L43N_GCLK4_M1DQ5_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
V1,LEDS<9>,IOB,IO_L39N_M3LDQSN_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
V2,,,GND,,,,,,,,,,,,
V3,BUSB_DO<3>,IOB,IO_L39P_M3LDQS_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
V4,EX_TRIGGER_SCROD,IOB,IO_L42P_GCLK25_TRDY2_M3UDM_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
V5,BUSB_DO<4>,IOB,IO_L17P_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
V6,LEDS<2>,IOB,IO_L9N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
V7,status_fake,IOB,IO_L9P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
V8,,,GND,,,,,,,,,,,,
V9,,,VCCAUX,,,,,,,,2.5,,,,
V10,SAMPLESEL_ANY<6>,IOB,IO_L46N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
V11,,IOBM,IO_L46P_2,UNUSED,,2,,,,,,,,,
V12,,IOBM,IO_L35P_2,UNUSED,,2,,,,,,,,,
V13,BUSB_DO<11>,IOB,IO_L27N_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
V14,,IOBM,IO_L26P_2,UNUSED,,2,,,,,,,,,
V15,,IOBS,IO_L26N_2,UNUSED,,2,,,,,,,,,
V16,,IOBS,IO_L17N_2,UNUSED,,2,,,,,,,,,
V17,,,VCCAUX,,,,,,,,2.5,,,,
V18,BUSA_RD_ROWSEL_S<1>,IOB,IO_L12P_D1_MISO2_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
V19,,,RFUSE,,,,,,,,,,,,
V20,BUSA_SAMPLESEL_S<3>,IOB,IO_L69P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,LOCATED,NO,NONE,
V21,BUSA_RD_ENA,IOB,IO_L69N_VREF_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
V22,,,VBATT,,,,,,,,,,,,
V23,TDC5_TRG<4>,IOB,IO_L42P_GCLK7_M1UDM_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
V24,TDC_AMUX_S<0>,IOB,IO_L45P_A1_M1LDQS_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
V25,,,GND,,,,,,,,,,,,
V26,TDC_AMUX_S<2>,IOB,IO_L45N_A0_M1LDQSN_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
W1,LEDS<7>,IOB,IO_L38N_M3DQ3_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,YES,NONE,
W2,LEDS<11>,IOB,IO_L38P_M3DQ2_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
W3,BUSB_DO<2>,IOB,IO_L42N_GCLK24_M3LDM_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
W4,,,VCCO_3,,,3,,,,,2.50,,,,
W5,LEDS<5>,IOB,IO_L17N_VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
W6,,,VCCO_3,,,3,,,,,2.50,,,,
W7,WL_CLK_N<6>,IOB,IO_L62N_D6_2,OUTPUT,BLVDS_25,2,,,,,,LOCATED,YES,NONE,
W8,WL_CLK_P<6>,IOB,IO_L62P_D5_2,OUTPUT,BLVDS_25,2,,,,,,LOCATED,YES,NONE,
W9,,IOBS,IO_L50N_2,UNUSED,,2,,,,,,,,,
W10,TDC14_TRG<0>,IOB,IO_L50P_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
W11,,,VCCO_2,,,2,,,,,2.50,,,,
W12,,IOBS,IO_L35N_2,UNUSED,,2,,,,,,,,,
W13,,,VCCAUX,,,,,,,,2.5,,,,
W14,,IOBM,IO_L34P_2,UNUSED,,2,,,,,,,,,
W15,,,VCCO_2,,,2,,,,,2.50,,,,
W16,TDC1_TRG<0>,IOB,IO_L19P_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
W17,BUSA_CLR,IOB,IO_L14P_D11_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
W18,BUSA_RD_ROWSEL_S<2>,IOB,IO_L14N_D12_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
W19,BUSA_RD_ROWSEL_S<0>,IOB,IO_L12N_D2_MISO3_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
W20,,IOBM,IO_L4P_2,UNUSED,,2,,,,,,,,,
W21,,,VCCO_1,,,1,,,,,2.50,,,,
W22,,,VFS,,,,,,,,,,,,
W23,,,VCCO_1,,,1,,,,,2.50,,,,
W24,TDC9_TRG<4>,IOB,IO_L42N_GCLK6_TRDY1_M1LDM_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
W25,TDC_AMUX_S<1>,IOB,IO_L46P_FCS_B_M1DQ2_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
W26,TDC_AMUX_S<3>,IOB,IO_L46N_FOE_B_M1DQ3_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
Y1,LEDS<8>,IOB,IO_L37N_M3DQ1_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
Y2,,,VCCO_3,,,3,,,,,2.50,,,,
Y3,BUSB_DO<1>,IOB,IO_L37P_M3DQ0_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
Y4,,,GND,,,,,,,,,,,,
Y5,TDC13_TRG<0>,IOB,IO_L7N_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
Y6,BUSB_CLR,IOB,IO_L7P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
Y7,,,GND,,,,,,,,,,,,
Y8,,,VCCO_2,,,2,,,,,2.50,,,,
Y9,,IOBM,IO_L52P_2,UNUSED,,2,,,,,,,,,
Y10,,,GND,,,,,,,,,,,,
Y11,,IOBM,IO_L41P_2,UNUSED,,2,,,,,,,,,
Y12,,IOBM,IO_L33P_2,UNUSED,,2,,,,,,,,,
Y13,BUSB_DO<12>,IOB,IO_L34N_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
Y14,,,GND,,,,,,,,,,,,
Y15,,IOBM,IO_L24P_2,UNUSED,,2,,,,,,,,,
Y16,SAMPLESEL_ANY<2>,IOB,IO_L19N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
Y17,BUSB_DO<15>,IOB,IO_L16P_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
Y18,,,VCCO_2,,,2,,,,,2.50,,,,
Y19,,,CMPCS_B_2,,,,,,,,,,,,
Y20,BUSA_RD_COLSEL_S<0>,IOB,IO_L4N_VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
Y21,,IOBM,IO_L2P_CMPCLK_2,UNUSED,,2,,,,,,,,,
Y22,,,SUSPEND,,,,,,,,,,,,
Y23,,,GND,,,,,,,,,,,,
Y24,TDC7_TRG<3>,IOB,IO_L51P_M1DQ12_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
Y25,,,VCCO_1,,,1,,,,,2.50,,,,
Y26,TDC_CS_DAC<0>,IOB,IO_L51N_M1DQ13_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
